"","GENEID"
"11551","LOC_Os08g26850"
"11569","LOC_Os08g27850"
"11609","LOC_Os08g30020"
"11627","LOC_Os08g31340"
"11635","LOC_Os08g31630"
"11644","LOC_Os08g32080"
"11646","LOC_Os08g32100"
"11647","LOC_Os08g32120"
"11656","LOC_Os08g32690"
"11658","LOC_Os08g32870"
"11661","LOC_Os08g32970"
"11672","LOC_Os08g33210"
"11677","LOC_Os08g33370"
"11683","LOC_Os08g33460"
"11693","LOC_Os08g33750"
"11706","LOC_Os08g34150"
"11718","LOC_Os08g34700"
"11719","LOC_Os08g34720"
"11731","LOC_Os08g35160"
"11732","LOC_Os08g35190"
"11739","LOC_Os08g35740"
"11753","LOC_Os08g36320"
"11757","LOC_Os08g36480"
"11769","LOC_Os08g37130"
"11781","LOC_Os08g37432"
"11787","LOC_Os08g37580"
"11809","LOC_Os08g38020"
"11824","LOC_Os08g38710"
"11830","LOC_Os08g38900"
"11842","LOC_Os08g39140"
"11849","LOC_Os08g39370"
"11850","LOC_Os08g39380"
"11863","LOC_Os08g39820"
"11890","LOC_Os08g40610"
"11894","LOC_Os08g40830"
"11905","LOC_Os08g41100"
"11911","LOC_Os08g41300"
"11915","LOC_Os08g41390"
"11926","LOC_Os08g41790"
"11936","LOC_Os08g42000"
"11941","LOC_Os08g42080"
"11984","LOC_Os08g43190"
"12021","LOC_Os08g44340"
"12029","LOC_Os08g44450"
"12030","LOC_Os08g44460"
"12035","LOC_Os08g44530"
"12045","LOC_Os08g44850"
"12101","LOC_Os09g04290"
"12152","LOC_Os09g08130"
"12206","LOC_Os09g12270"
"12213","LOC_Os09g12570"
"12214","LOC_Os09g12600"
"12223","LOC_Os09g13570"
"12273","LOC_Os09g17610"
"12311","LOC_Os09g20390"
"12314","LOC_Os09g20550"
"12333","LOC_Os09g21470"
"12349","LOC_Os09g23084"
"12351","LOC_Os09g23140"
"12372","LOC_Os09g24230"
"12379","LOC_Os09g24414"
"12386","LOC_Os09g24590"
"12387","LOC_Os09g24620"
"12401","LOC_Os09g24990"
"12405","LOC_Os09g25150"
"12410","LOC_Os09g25320"
"12428","LOC_Os09g25810"
"12439","LOC_Os09g26260"
"12442","LOC_Os09g26370"
